nsec_since_jan_1900,city_ref_co2_ppm,rural_ref_co2_ppm,date
3930854400,422.9479014,430.9452913,25/07/2024 00:00
3930858000,427.6705203,434.171741,25/07/2024 01:00
3930861600,428.6806172,437.5251059,25/07/2024 02:00
3930865200,431.3591475,438.4449857,25/07/2024 03:00
3930868800,431.2454886,440.0866024,25/07/2024 04:00
3930872400,430.0807822,434.8938977,25/07/2024 05:00
3930876000,426.9309597,432.8714255,25/07/2024 06:00
3930879600,425.5990814,428.9022458,25/07/2024 07:00
3930883200,423.3653575,426.6602115,25/07/2024 08:00
3930886800,422.2992919,426.0108843,25/07/2024 09:00
3930890400,420.6371044,425.3196359,25/07/2024 10:00
3930894000,419.3183314,422.4564028,25/07/2024 11:00
3930897600,418.5881822,422.9000253,25/07/2024 12:00
3930901200,418.9709125,423.2354567,25/07/2024 13:00
3930904800,417.1336564,420.2725339,25/07/2024 14:00
3930908400,416.3983492,421.4974451,25/07/2024 15:00
3930912000,418.6681783,424.2827973,25/07/2024 16:00
3930915600,420.7607,424.87403,25/07/2024 17:00
3930919200,422.55168,426.5818515,25/07/2024 18:00
3930922800,426.5027767,431.9993003,25/07/2024 19:00
3930926400,430.0356369,434.6391029,25/07/2024 20:00
3930930000,431.9797706,439.6995262,25/07/2024 21:00
3930933600,430.1100069,440.874246,25/07/2024 22:00
3930937200,431.5190783,436.7023703,25/07/2024 23:00
3930940800,433.9134153,441.3488469,26/07/2024 00:00
3930944400,436.03621,447.0615285,26/07/2024 01:00
3930948000,438.6051492,451.8432805,26/07/2024 02:00
3930951600,440.6798964,456.6122231,26/07/2024 03:00
3930955200,440.7037336,459.0423775,26/07/2024 04:00
3930958800,436.8474089,445.0215457,26/07/2024 05:00
3930962400,431.2516328,433.7273779,26/07/2024 06:00
3930966000,425.4395186,429.2674703,26/07/2024 07:00
3930969600,421.3887053,424.6811692,26/07/2024 08:00
3930973200,418.5701125,420.4598886,26/07/2024 09:00
3930976800,415.7660067,417.1505114,26/07/2024 10:00
3930980400,413.0095872,414.8083374,26/07/2024 11:00
3930984000,412.6275558,412.7979386,26/07/2024 12:00
3930987600,411.9296881,412.6192873,26/07/2024 13:00
3930991200,411.435255,412.55934,26/07/2024 14:00
3930994800,411.7013253,412.6052632,26/07/2024 15:00
3930998400,411.8614208,412.6757866,26/07/2024 16:00
3931002000,412.5291686,413.9779894,26/07/2024 17:00
3931005600,413.4622486,414.1709141,26/07/2024 18:00
